Hash num: 14 , sentence: 明月松间照，清泉石上流
Hash num: 33 , sentence: 不患人之不己知，患不知人
Hash num: 25 , sentence: 诚得比目何辞死，愿作鸳鸯不羡仙
Hash num: 117 , sentence: 海纳百川，有容乃大；壁立千仞，无欲则刚
Hash num: 66 , sentence: 读经，味如稻粱；读史，味如肴馔；读诸子百家，味如醯醢
Hash num: 189 , sentence: 汉之广矣，不可泳思；江之永矣，不可方思
Hash num: 38 , sentence: 半亩方塘一鉴开，天光云影共徘徊；问渠哪得清如许，为有源头活水来
Hash num: 152 , sentence: 前不见古人，后不见来者；念天地之悠悠，独怆然而涕下
Hash num: 244 , sentence: 诚既勇兮又以武，终刚强兮不可凌；身既死兮神以灵，子魂魄兮为鬼雄
Hash num: 133 , sentence: 夫唯不争，是以不去
Hash num: 143 , sentence: 一张一弛，文武之道
Hash num: 416 , sentence: 乘风破浪会有时，直挂云帆济沧海
Hash num: 234 , sentence: 大学之道，在明明德，在亲民，在至于至善
Hash num: 67 , sentence: 渺渺浮生厌无涯，功名利禄俗世嘉；深山十年磨利剑，凡尘一试惊天下
Hash num: 114 , sentence: 李白斗酒诗百篇，长安市上酒家眠；天子呼来不上船，自称臣是酒中仙
Hash num: 186 , sentence: 取次花丛懒回顾，半缘修道半缘君
Hash num: 226 , sentence: 人生代代无穷已，江月年年只相似
Hash num: 274 , sentence: 悟已往之不谏，知来者之可追，实迷途其未远，觉今是而昨非
Hash num: 271 , sentence: 信言不美，美言不信
Hash num: 230 , sentence: 天行健，君子以自强不息；地势坤，君子以厚德载物
Hash num: 238 , sentence: 水至清则无鱼，人至察则无徒
Hash num: 417 , sentence: 君子坦荡荡，小人长戚戚
Hash num: 640 , sentence: 潜龙勿用，现龙在田，惕龙若厉，跃龙在渊，飞龙在天，亢龙有悔
Hash num: 685 , sentence: 闰余成岁，律吕调阳
Hash num: 614 , sentence: 正己而不求于人，则无怨；上不怨天，下不尤人
Hash num: 275 , sentence: 春江潮水连海平，海上明月共潮生
Hash num: 366 , sentence: 昔我往矣，杨柳依依；今我来思，雨雪霏霏
Hash num: 153 , sentence: 雄关漫道真如铁，而今迈步从头越
Hash num: 350 , sentence: 人生得意须尽欢，莫使金樽空对月；天生我材必有用，千金散尽还复来
Hash num: 351 , sentence: 汩余若将不及兮，恐年岁之不我与
Hash num: 486 , sentence: 君子有所为，有所不为；穷则独善其身，达则兼济天下
Hash num: 831 , sentence: 仓廪实而知礼节，衣食足而知荣辱
Hash num: 455 , sentence: 黄鹤楼中吹玉笛，江城五月落梅花
Hash num: 548 , sentence: 纷吾既有此内美兮，又重之以修能
Hash num: 309 , sentence: 投我以木桃，报之以琼瑶
Hash num: 347 , sentence: 人之初，性本善，性相近，习相远，苟不教，性乃迁，教之道，贵以专
Hash num: 328 , sentence: 白马饰金羁，连翩西北驰
Hash num: 361 , sentence: 道可道，非常道；名可名，非常名；无名天地之始，有名万物之母
Hash num: 339 , sentence: 壮士饥餐胡虏肉，笑谈渴饮匈奴血
Hash num: 398 , sentence: 天道亏盈而益谦，地道变盈而流谦，鬼神害盈而福谦，人道恶盈而好谦
Hash num: 578 , sentence: 老骥伏枥，志在千里；烈士暮年，壮心不已
Hash num: 305 , sentence: 参差荇菜，左右采之；窈窕淑女，琴瑟友之
Hash num: 539 , sentence: 天之道，损有余而补不足
Hash num: 551 , sentence: 上兵伐谋，其次伐交，其次伐兵
Hash num: 453 , sentence: 天行有常，不为尧存，不为桀亡
Hash num: 749 , sentence: 源清则流清，源浊则流浊
Hash num: 908 , sentence: 庾信平生最萧瑟，暮年诗赋动江关
Hash num: 782 , sentence: 人法地，地法天，天法道，道法自然
Hash num: 718 , sentence: 太平世界，寰球同此凉热
Hash num: 775 , sentence: 诗以言志，文以载道
Hash num: 665 , sentence: 桃之夭夭，灼灼其华；之子于归，宜其室家
Hash num: 927 , sentence: 子房志忘秦，曾进桥下履；佐汉开鸿举，屹然天一柱
Hash num: 523 , sentence: 无善无恶心之体，有善有恶意之动，知善知恶是良知，为善去恶是格物
Hash num: 692 , sentence: 禹汤罪己，其兴也勃焉；桀纣罪人，其亡也忽焉
Hash num: 732 , sentence: 蓼蓼者莪，匪莪伊蒿；哀哀父母，生我劬劳
Hash num: 761 , sentence: 有物混成，先天地生，独立而不改，周行而不殆
Hash num: 720 , sentence: 修身，齐家，治国，平天下
Hash num: 961 , sentence: 近水楼台先得月，向阳花木早逢春
Hash num: 619 , sentence: 会当凌绝顶，一览众山小
Hash num: 910 , sentence: 长太息以掩涕兮，哀民生之多艰
Hash num: 488 , sentence: 宁为百夫长，胜作一书生
Hash num: 711 , sentence: 经年尘土满征衣，特特寻芳上翠微；好水好山看不足，马蹄催趁月明归
Hash num: 579 , sentence: 天地有正气，杂然赋流形；下则为河岳，上则为日星；于人曰浩然，沛乎塞苍冥
Hash num: 978 , sentence: 落霞与孤鹜齐飞，秋水共长天一色
Hash num: 889 , sentence: 君子和而不同，小人同而不和
Hash num: 983 , sentence: 大江东去，浪淘尽，千古风流人物
Hash num: 641 , sentence: 格物致知，传道授业，知行合一
Hash num: 921 , sentence: 路漫漫其修远兮，吾将上下而求索
Hash num: 713 , sentence: 三十功名尘与土，八千里路云和月
Hash num: 788 , sentence: 君子喻于义，小人喻于利
Hash num: 424 , sentence: 天地交而万物通，上下交而其志同
Hash num: 858 , sentence: 为天地立心，为生民立命，为往圣继绝学，为万世开太平
Hash num: 773 , sentence: 晴川历历汉阳树，芳草萋萋鹦鹉洲；日暮乡关何处是，烟波江上使人愁
Hash num: 894 , sentence: 好学近乎知，力行近乎仁，知耻近乎勇
Hash num: 912 , sentence: 安能摧眉折腰事权贵，使我不得开心颜
Hash num: 707 , sentence: 潮平两岸阔，风正一帆悬
Hash num: 371 , sentence: 昔人已乘黄鹤去，此地空余黄鹤楼；黄鹤一去不复返，白云千载空悠悠
Hash num: 550 , sentence: 灵台无计逃神矢，风雨如磐暗故园；寄意寒星荃不察，我以我血荐轩辕
Hash num: 913 , sentence: 一曲清歌满樽酒，人生何处不相逢
Hash num: 747 , sentence: 海上升明月，天涯共此时
Hash num: 499 , sentence: 春宵一刻值千金，花有清香月有阴
Hash num: 691 , sentence: 腰缠十万贯，骑鹤下扬州
Hash num: 674 , sentence: 尺璧非宝，寸阴是竞
Hash num: 840 , sentence: 造化钟神秀，阴阳割昏晓
Hash num: 377 , sentence: 东边日出西边雨，道是无晴却有晴
Hash num: 662 , sentence: 为政在人，取人以身，修身以道，修道以仁
Hash num: 751 , sentence: 穷则变，变则通，通则久
Hash num: 710 , sentence: 千凿万锤出深山，烈火焚烧若等闲；粉身碎骨浑不怕，要留清白在人间
