Hash num: 641 , sentence: 格物致知，传道授业，知行合一
Hash num: 707 , sentence: 潮平两岸阔，风正一帆悬
Hash num: 665 , sentence: 桃之夭夭，灼灼其华；之子于归，宜其室家
Hash num: 720 , sentence: 修身，齐家，治国，平天下
Hash num: 710 , sentence: 千凿万锤出深山，烈火焚烧若等闲；粉身碎骨浑不怕，要留清白在人间
Hash num: 691 , sentence: 腰缠十万贯，骑鹤下扬州
Hash num: 685 , sentence: 闰余成岁，律吕调阳
Hash num: 831 , sentence: 仓廪实而知礼节，衣食足而知荣辱
Hash num: 858 , sentence: 为天地立心，为生民立命，为往圣继绝学，为万世开太平
Hash num: 747 , sentence: 海上升明月，天涯共此时
Hash num: 711 , sentence: 经年尘土满征衣，特特寻芳上翠微；好水好山看不足，马蹄催趁月明归
Hash num: 732 , sentence: 蓼蓼者莪，匪莪伊蒿；哀哀父母，生我劬劳
Hash num: 692 , sentence: 禹汤罪己，其兴也勃焉；桀纣罪人，其亡也忽焉
Hash num: 761 , sentence: 有物混成，先天地生，独立而不改，周行而不殆
Hash num: 713 , sentence: 三十功名尘与土，八千里路云和月
Hash num: 889 , sentence: 君子和而不同，小人同而不和
Hash num: 921 , sentence: 路漫漫其修远兮，吾将上下而求索
Hash num: 983 , sentence: 大江东去，浪淘尽，千古风流人物
Hash num: 908 , sentence: 庾信平生最萧瑟，暮年诗赋动江关
Hash num: 749 , sentence: 源清则流清，源浊则流浊
Hash num: 773 , sentence: 晴川历历汉阳树，芳草萋萋鹦鹉洲；日暮乡关何处是，烟波江上使人愁
Hash num: 718 , sentence: 太平世界，寰球同此凉热
Hash num: 894 , sentence: 好学近乎知，力行近乎仁，知耻近乎勇
Hash num: 782 , sentence: 人法地，地法天，天法道，道法自然
Hash num: 775 , sentence: 诗以言志，文以载道
Hash num: 927 , sentence: 子房志忘秦，曾进桥下履；佐汉开鸿举，屹然天一柱
Hash num: 961 , sentence: 近水楼台先得月，向阳花木早逢春
Hash num: 910 , sentence: 长太息以掩涕兮，哀民生之多艰
Hash num: 840 , sentence: 造化钟神秀，阴阳割昏晓
Hash num: 978 , sentence: 落霞与孤鹜齐飞，秋水共长天一色
Hash num: 788 , sentence: 君子喻于义，小人喻于利
