Hash num: 153 , sentence: 雄关漫道真如铁，而今迈步从头越
Hash num: 186 , sentence: 取次花丛懒回顾，半缘修道半缘君
Hash num: 309 , sentence: 投我以木桃，报之以琼瑶
Hash num: 424 , sentence: 天地交而万物通，上下交而其志同
Hash num: 230 , sentence: 天行健，君子以自强不息；地势坤，君子以厚德载物
Hash num: 416 , sentence: 乘风破浪会有时，直挂云帆济沧海
Hash num: 350 , sentence: 人生得意须尽欢，莫使金樽空对月；天生我材必有用，千金散尽还复来
Hash num: 641 , sentence: 格物致知，传道授业，知行合一
Hash num: 550 , sentence: 灵台无计逃神矢，风雨如磐暗故园；寄意寒星荃不察，我以我血荐轩辕
Hash num: 398 , sentence: 天道亏盈而益谦，地道变盈而流谦，鬼神害盈而福谦，人道恶盈而好谦
Hash num: 417 , sentence: 君子坦荡荡，小人长戚戚
Hash num: 614 , sentence: 正己而不求于人，则无怨；上不怨天，下不尤人
Hash num: 523 , sentence: 无善无恶心之体，有善有恶意之动，知善知恶是良知，为善去恶是格物
Hash num: 455 , sentence: 黄鹤楼中吹玉笛，江城五月落梅花
Hash num: 351 , sentence: 汩余若将不及兮，恐年岁之不我与
Hash num: 831 , sentence: 仓廪实而知礼节，衣食足而知荣辱
Hash num: 921 , sentence: 路漫漫其修远兮，吾将上下而求索
Hash num: 858 , sentence: 为天地立心，为生民立命，为往圣继绝学，为万世开太平
Hash num: 707 , sentence: 潮平两岸阔，风正一帆悬
Hash num: 747 , sentence: 海上升明月，天涯共此时
Hash num: 539 , sentence: 天之道，损有余而补不足
Hash num: 710 , sentence: 千凿万锤出深山，烈火焚烧若等闲；粉身碎骨浑不怕，要留清白在人间
Hash num: 640 , sentence: 潜龙勿用，现龙在田，惕龙若厉，跃龙在渊，飞龙在天，亢龙有悔
Hash num: 782 , sentence: 人法地，地法天，天法道，道法自然
Hash num: 775 , sentence: 诗以言志，文以载道
Hash num: 927 , sentence: 子房志忘秦，曾进桥下履；佐汉开鸿举，屹然天一柱
Hash num: 692 , sentence: 禹汤罪己，其兴也勃焉；桀纣罪人，其亡也忽焉
Hash num: 761 , sentence: 有物混成，先天地生，独立而不改，周行而不殆
Hash num: 486 , sentence: 君子有所为，有所不为；穷则独善其身，达则兼济天下
Hash num: 910 , sentence: 长太息以掩涕兮，哀民生之多艰
Hash num: 773 , sentence: 晴川历历汉阳树，芳草萋萋鹦鹉洲；日暮乡关何处是，烟波江上使人愁
